iucn2020_binomial,phylacine_binomial,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Megaoryzomys curioi,Megaoryzomys curioi,Rodentia,570,16.0909364666667,4.01968714533522,297.235415,80,6,14,2,4,G,1,2,1,0,1400.64369997445,3.42566166666668,2.94449999999999,58.4701362023354,32.8300485574999,26.98109884,151.361987948,217.349109611905,746.841901378637,1459.91068131415,690.200350000441,0.778102903484619
Not recognised,Megaoryzomys spA,Rodentia,10073.7671513787,273.34453027,38.9910603733698,617.46172,80,5,15,2,3,G,1,1,1,0,4620.80905416417,2.7296875,1.816378767967,212.978748808988,67.3544630900003,100.603120653333,593.11588701,681.18149108,2436.12315378571,584.356473530379,1240.22255000001,3.92375093768744
Megaptera novaeangliae,Megaptera novaeangliae,Cetartiodactyla,30000000,1330000,6439,14028.105,0,20,80,3,2,M,2,3,1,0,34675,1,0.5,693.025325165,348.83674,290.32944,1643,1988.895,8030,12.8195014194481,504.62,NA
Megasorex gigas,Megasorex gigas,Eulipotyphla,11.71,1.36431829999987,0.291797041349953,89.8,1,20,79,2,2,G,3,1,1,0,725.835958326884,4.82056208333332,1.92039500000001,68.8917637867996,21.8841060200001,24.9044804199999,303.131012539999,334.327024034166,447.816242517192,1316.49411607761,1720,0.091835830446605
Not recognised,Megatherium americanum,Pilosa,6265000,83797.1117435,1999.69854243229,5058.80357000001,100,0,0,1,1,G,3,2,1,0,17201.1863396521,1.124305,0.50200456642,758.129398310759,465.981379242502,401.0105336,1977.99630948,2215.71691669501,6371.16568666496,71.697353710752,2397.966,61.7454271175269
Not recognised,Megatherium tarijense,Pilosa,3049954.2,38581.513828665,959.085897393731,3604.20271500002,100,0,0,1,1,G,3,2,1,0,15922.1673313051,1.1239,0.566361312701,691.700587503572,441.773043986252,359.28496946,1502.98741957,1761.43176631001,5490.11834808044,68.1078074709391,2487.725,60.0275441155654
Melanomys caliginosus,Melanomys caliginosus,Rodentia,41,5.19998833333334,1.13704145165425,169,80,0,20,2,4,G,1,1,1,0,1063.54125835645,1.45,4.82203071428571,35.5573256883449,29.8754370774999,28.1960487200001,94.4387153000004,129.53145652,579.663848895119,2445.48388192158,1011.85855000001,0.182951926270217
Melanomys robustulus,Melanomys robustulus,Rodentia,53.5,5.13358500000012,1.25502292867895,203,57,14,29,2,4,G,1,1,1,0,901.711208360469,3.26190050000001,4.87521,34.7512927573449,25.7205833049998,26.112071,93.2132724000004,127.89215948,523.966482525926,2145.61473114944,800,0.211787559264037
Melanomys zunigae,Melanomys zunigae,Rodentia,53.5,5.11693000000011,1.29880033186876,203,57,14,29,2,4,G,2,1,1,0,984.338083355724,3.36909800000002,4.83158500000001,36.4083777646049,25.7155387449998,25.9128527,92.1155074800004,128.82498444,533.089836342599,2817.74097533548,200,0.211787559264037
Melasmothrix naso,Melasmothrix naso,Rodentia,49,5.92531849999995,1.15496976711356,126,20,0,80,3,2,G,1,3,1,0,1264.2760499781,3.307865,3.135315,46.0531517243952,27.4512804,23.6522157400001,102.46039616,141.830946023064,586.816562459227,1583.51906302386,770,1.48289170508938
Meles anakuma,Meles anakuma,Carnivora,11884.03,84.25,53.6931549965619,802.945,40,0,60,2,2,G,1,3,1,0,6789,3.11,1,364.750171005,49,92.29,403.277,840,3136.8,26.452384912808,1963,4.1355751967862
Meles leucurus,Meles leucurus,Carnivora,11884.03,84.25,52.5584294010053,802.945,20,30,50,2,3,G,4,3,1,0,6789,3.11,1,364.750171005,49,92.29,403.277,365,2376.15,19.4806946657904,3205,4.1355751967862
Meles meles,Meles meles,Carnivora,11884.03,84.25,53.9422857142857,802.945,40,40,20,2,4,G,5,3,1,0,6789,3.11,1,364.750171005,49,92.29,403.277,469.71,2161.2481,26.18,3300,4.1355751967862
Mellivora capensis,Mellivora capensis,Carnivora,10000,210,77.8536733333333,726.48,10,70,20,2,3,G,4,3,1,0,11424.5,2.33,2,182.375085685,180,23.86,767.3354566,840,3570.785,81.2276985565798,4000,3.7610219258759
Melogale cucphuongensis,Melogale cucphuongensis,Carnivora,67318.87945,756.436084164999,132.136415490935,1282.79897000001,28,34,38,3,2,G,1,2,1,0,8175.39369443323,2.147555,1.4178325,294.33852325887,96.1012933299999,124.505554,702.025739346665,759.665122473335,2685.63738096904,3.35432383164738,2004.286,14.5239308429349
Melogale everetti,Melogale everetti,Carnivora,1922.63,50.13704,19.8541524078381,414.11,30,30,40,2,3,G,1,2,1,0,5635.89199971731,2.5,1.727333767967,221.094689267309,49.9200563350001,71.4230159200003,459.715244026,456,2167.314167034,9.26539324885246,2500,1.51861787789307
Melogale moschata,Melogale moschata,Carnivora,805.25,35.0574852499998,16.25,406.91,30,30,40,3,3,G,4,2,1,0,7254.375,2.25,1.80431,215.736020597651,50.2494655325002,61.7281313000003,369.152909648,304,1627.173333343,13.6831778099028,1500,5.84546973184057
Melogale orientalis,Melogale orientalis,Carnivora,1922.63,50.1604066499999,20.2311984303412,414.11,30,30,40,2,3,G,3,2,1,0,5995.6451247726,2.75,1.734273767967,223.848003428494,56.1621421600001,71.4152431200003,475.802677289333,441,2461.865,9.85337136536571,1970,1.51861787789307
Melogale personata,Melogale personata,Carnivora,1922.63,48.6388441499999,14.32788,414.11,30,30,40,3,3,G,4,2,1,0,5076.14746646617,2.75,1.828875,213.748197134269,51.6147506825,65.1930293200004,401.885083339999,456,1488.11,9.41052483723787,1505,8.95410652527606
