"","taxonid","scientific_name","kingdom","phylum","class","order","family","genus","main_common_name","authority","published_year","assessment_date","category","criteria","population_trend","marine_system","freshwater_system","terrestrial_system","assessor","reviewer","aoo_km2","eoo_km2","elevation_upper","elevation_lower","depth_upper","depth_lower","errata_flag","errata_reason","amended_flag","amended_reason","iucn2020_binomial"
"53",2533,"Balantiopteryx plicata","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","EMBALLONURIDAE","Balantiopteryx","Gray Sac-winged Bat","Peters, 1867",2016,"2016-07-01","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Lim, B., Miller, B., Reid, F., Arroyo-Cabrales, J., Cuarón, A.D. & de Grammont, P.C.","Solari, S.",NA,NA,1500,0,NA,NA,NA,NA,NA,NA,"Balantiopteryx plicata"
"54",84454322,"Balionycteris maculata","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Balionycteris","Spotted-winged Fruit Bat","(Thomas, 1893)",2021,"2019-11-20","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Bates, P., Bumrungsri, S., Suyanto, A., Francis, C., Kingston, T. & Tan, P.","Battistoni, A.",NA,NA,1500,0,NA,NA,NA,NA,NA,NA,"Balionycteris maculata"
"55",84454980,"Balionycteris seimundi","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Balionycteris","Spotted-winged Fruit Bat","(Kloss 1921)",2021,"2019-11-23","LC",NA,"Stable",FALSE,FALSE,TRUE,"Tan, P.","Battistoni, A.",NA,NA,1500,0,NA,NA,NA,NA,NA,NA,"Balionycteris seimundi"
"56",2553,"Barbastella barbastellus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Barbastella","Western Barbastelle","(Schreber, 1774)",2016,"2016-04-25","NT",NA,"Decreasing",FALSE,FALSE,TRUE,"Piraccini, R.","Racey, P.A.",NA,"12455378",2260,0,NA,NA,NA,NA,NA,NA,"Barbastella barbastellus"
"57",85180824,"Barbastella beijingensis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Barbastella","Beijing Barbastelle","Zhang, Han, Jones, Lin, Zhang, Zhu, Huang &amp; Zhang, 2007",2021,"2020-11-16","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Kruskop, S.V. & Flanders, J.","Battistoni, A.",NA,NA,707,0,NA,NA,NA,NA,NA,NA,"Barbastella beijingensis"
"58",85197261,"Barbastella darjelingensis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Barbastella","Eastern Barbastelle","(Hodgson, 1855)",2021,"2020-12-10","LC",NA,"Stable",FALSE,FALSE,TRUE,"Kruskop, S.V.","Waldien, D.L.",NA,NA,2350,0,NA,NA,NA,NA,NA,NA,"Barbastella darjelingensis"
"59",85181182,"Barbastella leucomelas","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Barbastella","Eastern Barbastelle","(Cretzschmar, 1826)",2017,"2016-08-31","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Monadjem, A., Tsytsulina, K., Hutson, A.M., Benda, P., Aulagnier, S. & Sharifi, M.","Piraccini, R.",NA,"24710500",2500,0,NA,NA,NA,NA,NA,NA,"Barbastella leucomelas"
"60",1789,"Bauerus dubiaquercus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Bauerus","Van Gelder's Bat","(Van Gelder, 1959)",2018,"2018-01-08","NT",NA,"Unknown",FALSE,FALSE,TRUE,"Solari, S.","Battistoni, A.",NA,NA,2300,100,NA,NA,NA,NA,NA,NA,"Bauerus dubiaquercus"
"61",19749,"Boneia bidens","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Boneia","Manado Rousette","Jentink, 1879",2020,"2019-05-14","VU","A3cd","Decreasing",FALSE,FALSE,TRUE,"Wiantoro, S. & Tsang, S.M.","Waldien, D.L.",NA,NA,1060,200,NA,NA,NA,NA,NA,NA,"Boneia bidens"
"62",2982,"Brachyphylla cavernarum","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Brachyphylla","Antillean Fruit-eating Bat","Gray, 1834",2019,"2016-07-09","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Rodriguez Duran, A. & Davalos, L.","Solari, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brachyphylla cavernarum"
