"litters_per_year_n","Synurbic","adult_body_length_mm","altitude_breadth_m","lower_elevation_m","upper_elevation_m","litter_size_n","island_dwelling","disected_by_mountains","glaciation","det_inv","det_vend","det_vect","det_vfish","det_fruit","det_nect","det_seed","det_diet_breadth_n","adult_forearm_length_mm","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","habitat_breadth_n","foraging_stratum","activity_cycle","biogeographical_realm","adult_mass_g","dphy_invertebrate","dphy_vertebrate","dphy_plant","trophic_level","virus","cites","vcites","zvirus","fam_EMBALLONURIDAE","fam_HIPPOSIDERIDAE","fam_MOLOSSIDAE","fam_MORMOOPIDAE","fam_NATALIDAE","fam_NYCTERIDAE","fam_PHYLLOSTOMIDAE","fam_PTEROPODIDAE","fam_RHINOLOPHIDAE","fam_VESPERTILIONIDAE","dum_virus","dum_zvirus"
NA,"0",59,NA,NA,NA,0.98,0,"0","0",100,0,0,0,0,0,0,1,45.5,5567605.79,11.59,-20.3,-4.35,-34.79,-69.86,-52.32,0,20.14,0,0.1,152.17,249.26,1338.85,1604.98,1,"A","1","Neotropical",23,100,0,0,"3",0,3,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,NA,157,NA,0,NA,1,0,"0","0",100,0,0,0,0,0,0,1,89.49,3800009.52,10.11,-10.13,-0.00892856,36.33,-14.06,11.13,0,45,1,0.12,146.96,240.77,1326.71,1553.74,1,"A","1","Afrotropical",53.35,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,NA,NA,NA,0,NA,NA,1,"0","0",100,0,0,0,0,0,0,1,64.5,43137.49,-8.53,-14.34,-11.44,147.55,141.31,144.43,0,4.33,0,0.16,137.09,252.81,1123.78,1709.61,3,"A","1","Australasian",38.29,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
1.51,NA,75,NA,NA,1750,1,0,"1","0",100,0,0,0,0,0,0,1,49.5,4378235.63,18.45,-23.38,-2.46,-38.16,-95.19,-66.67,0,41.8,0,0.12,145.66,230.93,1320.94,1554.36,2,"A","1","Neotropical",9.85,100,0,0,"3",0,4,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,NA,51,NA,NA,500,NA,NA,NA,NA,100,0,0,0,0,0,0,1,NA,10599499.36,16.5,-20.1,-1.79,-34.79,-93.84,-64.31,0,20.97,0,0.12,160.77,245.27,1328.5,1572.3,1,"A","2","Neotropical",4.72,100,0,0,"3",0,2,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
1,NA,79.24,300,0,300,1,NA,NA,NA,100,0,0,0,0,0,0,1,NA,131852.5,-7.2,-23.41,-15.31,150.83,141.09,145.96,0,5.35,0,0.05,124.55,232.05,1096.32,1685.34,3,"A","2","Australasian",24.215,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,NA,79,NA,NA,NA,NA,0,"0","0",100,0,0,0,0,0,0,1,54,710901.14,6.15,-7.31,-0.57,-60.45,-67.65,-64.05,0,1.71,0,0.07,181.99,253.5,1581.15,1652.52,2,"A","1","Neotropical",12.61,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
1,"0",75.995,NA,NA,NA,1,0,"1","0",100,0,0,0,0,0,0,1,66,7898368.07,22.7,-17.72,2.48,-34.79,-105.7,-70.24,0,27.6,0,0.1,157.72,245.62,1334.46,1602.1,2,"A","1","Neotropical",18.5,100,0,0,"3",2,0,0,1,"1","0","0","0","0","0","0","0","0","0",1,1
NA,"0",59,500,0,500,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1484754.75,19.36,-5.26,7.04,-71.28,-96.4,-83.84,0,41.97,1,0.12,191.99,240.33,1418.49,1545.99,1,"A","1","Neotropical",23,100,0,0,"3",0,1,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
1,"1",NA,800,0,800,1,0,"1","0",100,0,0,0,0,0,0,1,63.72,7234034.08,31.28,-10.37,10.45,128.9,68.93,98.92,1,222.74,9,0.1,153.56,236.93,1098.79,1509.4,3,"A","2","Indomalayan",25.99,100,0,0,"3",253,24,4,8,"1","0","0","0","0","0","0","0","0","0",1,1
1.5,NA,87.495,900,0,900,1,0,"1","0",100,0,0,0,0,0,0,1,61.74,15027580.58,15.96,-34.83,-9.43,57.8,-16.82,20.48,0,37.08,1,0.14,100.81,236.24,992.94,1539.56,5,"A","2","Afrotropical",27.97,100,0,0,"3",18,3,0,0,"1","0","0","0","0","0","0","0","0","0",1,0
NA,NA,NA,NA,NA,NA,NA,0,"0","0",100,0,0,0,0,0,0,1,65,862098.26,12.69,1.78,7.24,36.3,17.7,27,1,11.76,2,0.09,71.1,260.35,858.42,1637.41,1,"A","2","Afrotropical",39.15,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,"1",53,1050,150,1200,NA,0,"0","0",100,0,0,0,0,0,0,1,38.99,68801.56,1.43,-2.73,-0.64,-78.29,-80.97,-79.63,0,83.28,9,0.11,121.57,242.2,1124.51,1461.07,2,"A","1","Neotropical",9.05,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
2,"0",NA,1200,0,1200,0.99,1,"1","0",100,0,0,0,0,0,0,1,58.49,4343701.3,28.26,-8.96,9.65,123.01,72.61,97.81,1,217.19,8,0.1,158.24,249.1,1137.84,1570.56,4,"A","2","Indomalayan",25.11,100,0,0,"3",4,11,0,0,"1","0","0","0","0","0","0","0","0","0",1,0
