"","tip","cites","vcites"
"537","Molossus_sinaloae",4,2
"538","Monophyllus_plethodon",1,0
"539","Monophyllus_redmani",6,0
"540","Mops_bakarii",0,0
"541","Mops_brachypterus",0,0
"542","Mops_condylurus",14,11
"543","Mops_congicus",0,0
"544","Mops_demonstrator",0,0
"545","Mops_leucostigma",1,0
"546","Mops_midas",0,0
"547","Mops_mops",0,0
"548","Mops_nanulus",0,0
"549","Mops_niangarae",0,0
"550","Mops_niveiventer",0,0
"551","Mops_petersoni",0,0
"552","Mops_sarasinorum",0,0
"553","Mops_spurrelli",0,0
"554","Mops_thersites",0,0
"555","Mops_trevori",0,0
"556","Mormoops_blainvillei",1,0
"557","Mormoops_megalophylla",11,0
"558","Mormopterus_acetabulosus",0,0
"559","Mormopterus_beccarii",0,0
"560","Mormopterus_doriae",0,0
"561","Mormopterus_eleryi",0,0
"562","Mormopterus_francoismoutoui",4,3
"563","Mormopterus_halli",0,0
"564","Mormopterus_jugularis",2,0
"565","Mormopterus_kitcheneri",0,0
"566","Mormopterus_loriae",0,0
"567","Mormopterus_lumsdenae",0,0
"568","Mormopterus_minutus",0,0
"569","Mormopterus_norfolkensis",1,0
"570","Mormopterus_phrudus",0,0
"571","Mormopterus_planiceps",2,0
"572","Mosia_nigrescens",1,0
"573","Murina_aenea",1,1
"574","Murina_annamitica",0,0
"575","Murina_aurata",0,0
"576","Murina_balaensis",0,0
"577","Murina_beelzebub",0,0
"578","Murina_bicolor",0,0
"579","Murina_chrysochaetes",0,0
"580","Murina_cineracea",0,0
"581","Murina_cyclotis",1,0
"582","Murina_eleryi",1,0
"583","Murina_fionae",0,0
"584","Murina_florium",0,0
"585","Murina_fusca",0,0
"586","Murina_gracilis",2,0
"587","Murina_guilleni",0,0
"588","Murina_harpioloides",0,0
"589","Murina_harrisoni",0,0
"590","Murina_hilgendorfi",4,1
"591","Murina_huttoni",1,0
"592","Murina_jaintiana",0,0
"593","Murina_leucogaster",13,2
"594","Murina_loreliae",0,0
"595","Murina_peninsularis",0,0
"596","Murina_pluvialis",0,0
"597","Murina_puta",0,0
"598","Murina_recondita",1,0
"599","Murina_rozendaali",0,0
"600","Murina_ryukyuana",0,0
"601","Murina_shuipuensis",1,0
"602","Murina_suilla",1,1
"603","Murina_tenebrosa",0,0
"604","Murina_tiensa",0,0
"605","Murina_tubinaris",0,0
"606","Murina_ussuriensis",4,0
"607","Murina_walstoni",0,0
"608","Musonycteris_harrisoni",3,0
"609","Myonycteris_angolensis",0,0
"610","Myonycteris_brachycephala",0,0
"611","Myonycteris_relicta",0,0
"612","Myonycteris_torquata",8,7
"613","Myopterus_daubentonii",0,0
"614","Myopterus_whitleyi",0,0
"615","Myotis_adversus",5,0
"616","Myotis_aelleni",1,0
"617","Myotis_albescens",5,0
"618","Myotis_alcathoe",3,0
"619","Myotis_altarium",4,0
"620","Myotis_anjouanensis",0,0
"621","Myotis_annamiticus",0,0
"622","Myotis_annectans",1,0
"623","Myotis_atacamensis",0,0
"624","Myotis_ater",0,0
"625","Myotis_aurascens",0,0
"626","Myotis_auriculus",1,0
"627","Myotis_australis",0,0
"628","Myotis_austroriparius",6,0
"629","Myotis_badius",0,0
"630","Myotis_bechsteinii",33,1
"631","Myotis_blythii",16,4
"632","Myotis_bocagii",0,0
"633","Myotis_bombinus",4,1
"634","Myotis_brandtii",24,6
"635","Myotis_bucharensis",1,0
"636","Myotis_californicus",8,1
"637","Myotis_capaccinii",13,2
"638","Myotis_chiloensis",7,0
"639","Myotis_chinensis",3,0
"640","Myotis_ciliolabrum",7,0
"641","Myotis_cobanensis",0,0
"642","Myotis_csorbai",0,0
"643","Myotis_dasycneme",19,8
"644","Myotis_daubentonii",91,36
"645","Myotis_davidii",17,7
"646","Myotis_dieteri",0,0
"647","Myotis_diminutus",0,0
"648","Myotis_dinellii",0,0
"649","Myotis_dominicensis",0,0
"650","Myotis_elegans",0,0
"651","Myotis_emarginatus",10,3
"652","Myotis_escalerai",3,0
"653","Myotis_evotis",6,2
"654","Myotis_fimbriatus",4,0
"655","Myotis_findleyi",0,0
"656","Myotis_flavus",0,0
"657","Myotis_formosus",2,1
"658","Myotis_fortidens",0,0
"659","Myotis_frater",4,0
"660","Myotis_gomantongensis",0,0
"661","Myotis_goudoti",5,0
"662","Myotis_grisescens",9,0
"663","Myotis_hajastanicus",1,0
"664","Myotis_handleyi",0,0
"665","Myotis_hasseltii",0,0
"666","Myotis_hermani",0,0
"667","Myotis_horsfieldii",3,3
"668","Myotis_ikonnikovi",4,0
"669","Myotis_insularum",0,0
"670","Myotis_izecksohni",0,0
"671","Myotis_keaysi",2,0
"672","Myotis_keenii",3,1
"673","Myotis_laniger",1,0
"674","Myotis_lavali",3,1
"675","Myotis_leibii",2,0
