"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","seed","id","id2"
"117",117,0.958962264150943,0.938332421091042,0.975369458128079,0.666666666666667,10535,25000,3,5e-04,7,"25000 3 5e-04","12"
"118",118,0.968291404612159,0.894727239554826,0.945812807881773,0.592592592592593,11749,25000,3,5e-04,8,"25000 3 5e-04","12"
"119",119,0.97262986256697,0.911694946177705,0.96551724137931,0.537037037037037,14437,25000,3,5e-04,9,"25000 3 5e-04","12"
"120",120,0.968780573025856,0.914522897281518,0.955665024630542,0.62962962962963,14128,25000,3,5e-04,10,"25000 3 5e-04","12"
"121",121,0.97359655252737,0.902298850574713,0.970443349753695,0.555555555555556,5493,25000,4,0.001,1,"25000 4 0.001","13"
"122",122,0.97724202189611,0.855135924101441,0.960591133004926,0.537037037037037,5266,25000,4,0.001,2,"25000 4 0.001","13"
"123",123,0.968862101094805,0.891808064221857,0.940886699507389,0.62962962962963,4527,25000,4,0.001,3,"25000 4 0.001","13"
"124",124,0.959905660377359,0.943258529465426,0.970443349753695,0.611111111111111,4088,25000,4,0.001,4,"25000 4 0.001","13"
"125",125,0.973142324714652,0.914705345739829,0.955665024630542,0.481481481481481,5370,25000,4,0.001,5,"25000 4 0.001","13"
"126",126,0.969916142557652,0.884692574347747,0.960591133004926,0.574074074074074,4518,25000,4,0.001,6,"25000 4 0.001","13"
"127",127,0.960994642441183,0.936325488049626,0.975369458128079,0.648148148148148,4135,25000,4,0.001,7,"25000 4 0.001","13"
"128",128,0.973293733985558,0.892446633825944,0.950738916256158,0.574074074074074,5081,25000,4,0.001,8,"25000 4 0.001","13"
"129",129,0.974866061029583,0.911603721948549,0.96551724137931,0.537037037037037,5818,25000,4,0.001,9,"25000 4 0.001","13"
"130",130,0.968524341952015,0.915617588031381,0.960591133004926,0.648148148148148,5150,25000,4,0.001,10,"25000 4 0.001","13"
"131",131,0.968541812252504,0.904488232074439,0.975369458128079,0.555555555555556,466,25000,4,0.01,1,"25000 4 0.01","14"
