"litters_per_year_n","Synurbic","adult_body_length_mm","altitude_breadth_m","lower_elevation_m","upper_elevation_m","litter_size_n","island_dwelling","disected_by_mountains","glaciation","det_inv","det_vend","det_vect","det_vfish","det_fruit","det_nect","det_diet_breadth_n","adult_forearm_length_mm","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","habitat_breadth_n","foraging_stratum","activity_cycle","biogeographical_realm","adult_mass_g","dphy_invertebrate","dphy_vertebrate","dphy_plant","trophic_level","virus","cites","vcites","zvirus","fam_EMBALLONURIDAE","fam_HIPPOSIDERIDAE","fam_MOLOSSIDAE","fam_PHYLLOSTOMIDAE","fam_PTEROPODIDAE","fam_VESPERTILIONIDAE","dum_virus","dum_zvirus"
NA,"0",NA,NA,NA,NA,1,NA,NA,NA,100,0,0,0,0,0,1,73.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"A","1",NA,33.31,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"0",NA,1000,0,1000,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44856.12,-6.81,-8.23,-7.52,114.12,107.62,110.87,427,838.31,460,0.02,181.7,245.07,1285.18,1539.87,2,"A","1","Indomalayan",19.95,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"1",NA,500,0,500,NA,0,"0","0",100,0,0,0,0,0,1,44.49,8853.55,4.29,3.2,3.75,10.86,8.42,9.64,9,93.77,9,0.14,257.65,257.33,1283.67,1519.34,2,"A","1","Afrotropical",13.21,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"1",NA,1900,0,1900,0.99,0,"1","0",100,0,0,0,0,0,1,41.245,3983753.98,28.82,4.16,16.49,121.79,75.45,98.62,1,207.07,9,0.08,141.93,213.41,1046.44,1402.51,1,"A","1","Indomalayan",9.248,100,0,0,"3",135,13,9,9,"0","1","0","0","0","0",1,1
NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315496.46,23.03,18.32,20.68,105.73,94.86,100.29,6,73.43,10,0.09,112.86,216.31,1049.5,1427.97,1,"A","1","Indomalayan",19.95,100,0,0,"3",4,0,0,0,"0","1","0","0","0","0",1,0
NA,"0",NA,200,0,200,NA,1,"0","0",100,0,0,0,0,0,1,38,134870.52,18.65,9.03,13.84,124.6,119.74,122.17,19,303.66,32,0.08,216.76,244.73,1395.99,1729.92,2,"A","1","Indomalayan",3.53,100,0,0,"3",0,1,0,0,"0","1","0","0","0","0",0,0
NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,1,100.49,8430.51,-0.97,-1.84,-1.4,122.21,120.71,121.46,17,20.55,17,0.11,231.85,205.57,1800.66,1887.16,1,"A","1","Australasian",136.34,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"1",NA,NA,NA,NA,1,0,"0","0",NA,NA,NA,NA,NA,NA,NA,71.1,48918.55,-11.88,-14.06,-12.97,133.27,130.54,131.9,0,7.2,0,0.0066822413858038,106.09,270.01,928.52,1887.62,4,"A","1","Australasian",40.45,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,"A","1","Indomalayan",40,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"0",NA,NA,NA,NA,NA,1,"0","0",100,0,0,0,0,0,1,95,16310.89,-6.02,-9.94,-7.98,161.39,155.13,158.26,13,13.29,13,0.17,193.88,261.5,-999,-999,2,"A","1","Australasian",116.08,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
1,"1",NA,1385,0,1385,0.995,NA,NA,NA,100,0,0,0,0,0,1,51.49,1072136.01,30.46,5.91,18.18,86.6,71.87,79.24,22,370,90,0.08,96.08,262.41,857.62,1583.28,5,"A","1","Indomalayan",10.39,100,0,0,"3",8,10,0,2,"0","1","0","0","0","0",1,1
NA,"0",NA,NA,NA,NA,NA,1,"0","0",100,0,0,0,0,0,1,50.49,25011.58,2.22,-1.66,0.28,136.38,127.28,131.83,5,23.99,5,0.06,202.64,250.07,1719.24,1797,2,"A","1","Australasian",18.99,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"0",NA,NA,NA,NA,NA,0,"1","0",100,0,0,0,0,0,1,78.5,428641.22,22.25,2.16,12.21,103.4,96.41,99.9,3,72.84,8,0.08,161.24,237.94,1227.28,1642.42,2,"A","1","Indomalayan",62.19,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"1",NA,NA,NA,NA,0.99,1,"1","0",100,0,0,0,0,0,1,38.99,5724145.6,28.68,-25.16,1.76,153.01,70.54,111.78,0,205.71,0,0.09,148.22,247.89,1040.75,1588.36,4,"A","1",NA,7.125,100,0,0,"3",0,1,0,0,"0","1","0","0","0","0",0,0
