"","tip","species","gen","fam","clade","MSW3_sciName_matched","virus","cites","vcites","Synurbic","filter","vfilter"
"149","Desmodus_rotundus","Desmodus rotundus","Desmodus","PHYLLOSTOMIDAE","Yangochiroptera","Desmodus_rotundus",1113,388,141,NA,"keep","keep"
"150","Diaemus_youngi","Diaemus youngi","Diaemus","PHYLLOSTOMIDAE","Yangochiroptera","Diaemus_youngi",9,13,1,NA,"keep","keep"
"151","Diclidurus_albus","Diclidurus albus","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_albus",2,0,0,NA,"keep","keep"
"152","Diclidurus_ingens","Diclidurus ingens","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_ingens",0,0,0,NA,"drop","drop"
"153","Diclidurus_isabellus","Diclidurus isabellus","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_isabellus",0,0,0,NA,"drop","drop"
"154","Diclidurus_scutatus","Diclidurus scutatus","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_scutatus",0,0,0,NA,"drop","drop"
"155","Diphylla_ecaudata","Diphylla ecaudata","Diphylla","PHYLLOSTOMIDAE","Yangochiroptera","Diphylla_ecaudata",19,18,4,NA,"keep","keep"
"156","Dobsonia_anderseni","Dobsonia anderseni","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_anderseni",2,0,0,NA,"keep","keep"
"157","Dobsonia_beauforti","Dobsonia beauforti","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_beauforti",0,0,0,NA,"drop","drop"
"158","Dobsonia_chapmani","Dobsonia chapmani","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_chapmani",0,0,0,NA,"drop","drop"
"159","Dobsonia_crenulata","Dobsonia crenulata","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_crenulata",0,0,0,NA,"drop","drop"
"160","Dobsonia_emersa","Dobsonia emersa","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_emersa",0,0,0,NA,"drop","drop"
