Species_Name,tiplabel,gen,fam,ord,clade,higher,MSW3_sciName_matched,genes,extinct.,samp,PC,Order,Family,BM,BR,Diet,WA,LS,AspectRatio,Synurbic,UrbanStatus
Carollia_sowelli,Carollia_sowelli_PHYLLOSTOMIDAE_CHIROPTERA,Carollia,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Carollia_sowelli,3,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carollia_subrufa,Carollia_subrufa_PHYLLOSTOMIDAE_CHIROPTERA,Carollia,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Carollia_subrufa,2,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casinycteris_argynnis,Casinycteris_argynnis_PTEROPODIDAE_CHIROPTERA,Casinycteris,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Casinycteris_argynnis,5,0,sampled,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casinycteris_campomaanensis,Casinycteris_campomaanensis_PTEROPODIDAE_CHIROPTERA,Casinycteris,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,NA,1,0,sampled,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casinycteris_ophiodon,Casinycteris_ophiodon_PTEROPODIDAE_CHIROPTERA,Casinycteris,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Scotonycteris_ophiodon,1,0,sampled,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centronycteris_centralis,Centronycteris_centralis_EMBALLONURIDAE_CHIROPTERA,Centronycteris,EMBALLONURIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Centronycteris_centralis,1,0,sampled,PC18_EmballonuridRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centronycteris_maximiliani,Centronycteris_maximiliani_EMBALLONURIDAE_CHIROPTERA,Centronycteris,EMBALLONURIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Centronycteris_maximiliani,1,0,sampled,PC18_EmballonuridRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centurio_senex,Centurio_senex_PHYLLOSTOMIDAE_CHIROPTERA,Centurio,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Centurio_senex,11,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaerephon_aloysiisabaudiae,Chaerephon_aloysiisabaudiae_MOLOSSIDAE_CHIROPTERA,Chaerephon,MOLOSSIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Chaerephon_aloysiisabaudiae,0,0,imputed,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaerephon_ansorgei,Chaerephon_ansorgei_MOLOSSIDAE_CHIROPTERA,Chaerephon,MOLOSSIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Chaerephon_ansorgei,1,0,sampled,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaerephon_atsinanana,Chaerephon_atsinanana_MOLOSSIDAE_CHIROPTERA,Chaerephon,MOLOSSIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,NA,2,0,sampled,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaerephon_bemmeleni,Chaerephon_bemmeleni_MOLOSSIDAE_CHIROPTERA,Chaerephon,MOLOSSIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Chaerephon_bemmeleni,0,0,imputed,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaerephon_bivittatus,Chaerephon_bivittatus_MOLOSSIDAE_CHIROPTERA,Chaerephon,MOLOSSIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Chaerephon_bivittatus,0,0,imputed,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
